comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;171;1;1;5;10000;10000;0;25000;1;0;1;1;1;.055028;NA;.126166;.158022;.189535;.217916;4116;1503
0.02;3;1;0;4;512;171;1;1;5;10000;10000;0;25000;1;0;1;2;1;.052349;NA;.123342;.220371;.319344;.371666;3943;863
0.02;3;1;0;4;512;171;1;1;5;10000;10000;0;25000;1;0;1;2;1;.135517;NA;.120636;.219578;.300068;.355416;4231;889
0.02;3;1;0;4;512;171;1;1;5;10000;10000;0;25000;1;0;1;2;1;.098673;NA;.122801;.211743;.278926;.317083;4325;1012
0.02;3;1;0;4;512;171;1;1;5;10000;10000;0;25000;1;0;1;5;1;.135297;NA;.142698;1.318505;1.898723;1.953333;4575;190
0.02;3;1;0;4;512;171;1;1;5;10000;10000;0;25000;1;0;1;5;1;.055352;NA;.146034;1.257698;2.004128;2.057916;4544;183
0.03;3;1;0;4;512;171;1;1;5;10000;10000;0;25000;1;0;1;5;1;.135994;NA;.142060;1.342085;2.060574;2.073333;4634;177
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;25000;1;0;1;0;1;.017803;NA;.160588;.136138;.141337;.154166;3416;2661
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;25000;1;0;1;0;1;.018283;NA;.161896;.134632;.142732;.152916;3458;2703
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;25000;1;0;1;0;1;.017775;NA;.157426;.134645;.143649;.154166;3460;2612
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;25000;1;0;1;1;1;.055022;NA;.131218;.167725;.251566;.269166;3698;1263
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;25000;1;0;1;1;1;.055681;NA;.127198;.157019;.194144;.232083;4118;1418
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;25000;1;0;1;1;1;.058870;NA;.128611;.163437;.206241;.236666;4053;1406
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;25000;1;0;1;2;1;.139343;NA;.127677;.240435;.306396;.381666;4245;884
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;25000;1;0;1;2;1;.094267;NA;.130251;.228783;.292928;.345000;4204;978
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;25000;1;0;1;2;1;.055541;NA;.127295;.233154;.321606;.378750;4264;876
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;25000;1;0;1;5;1;.093980;NA;.149807;1.408692;2.160624;2.214166;4600;174
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;25000;1;0;1;5;1;.313304;NA;.146943;1.460692;1.953272;2.227083;4618;172
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;25000;1;0;1;5;1;.096032;NA;.151283;1.422653;1.987237;2.000416;4638;194
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;25000;1;0;1;0;1;.017998;NA;.154593;.131361;.137729;.151250;3402;2623
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;25000;1;0;1;0;1;.017873;NA;.151150;.131269;.135750;.149583;3141;2617
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;25000;1;0;1;0;1;.018449;NA;.154868;.131714;.141253;.151666;3361;2640
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;25000;1;0;1;1;1;.054481;NA;.130354;.163535;.190845;.245000;3725;1377
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;25000;1;0;1;1;1;.059454;NA;.124637;.157340;.258657;.270833;4199;1200
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;25000;1;0;1;1;1;.059674;NA;.125330;.167469;.213929;.254583;3737;1277
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;25000;1;0;1;2;1;.053844;NA;.123514;.272631;1.322430;1.375000;4255;233
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;25000;1;0;1;2;1;.095005;NA;.122125;.223576;.307883;.350833;4251;907
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;25000;1;0;1;2;1;.055316;NA;.125621;.238476;.311644;.355416;4247;920
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;25000;1;0;1;5;1;.135197;NA;.144960;1.361661;2.285569;2.339166;4468;161
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;25000;1;0;1;5;1;.140421;NA;.147875;1.440857;2.033178;2.169166;4621;176
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;25000;1;0;1;5;1;.143935;NA;.142096;1.364046;1.772185;1.907500;4574;192
0.02;3;1;0;4;512;74;1;0;5;10000;10000;0;25000;1;0;1;0;1;.012129;NA;.133436;.165847;.172971;.183333;2211;1855
0.02;3;1;0;4;512;74;1;0;5;10000;10000;0;25000;1;0;1;0;1;.011809;NA;.135586;.156914;.170945;.182083;2322;1881
0.02;3;1;0;4;512;74;1;0;5;10000;10000;0;25000;1;0;1;0;1;.012020;NA;.136133;.163984;.176162;.187083;2282;1865
0.02;3;1;0;4;512;74;1;0;5;10000;10000;0;25000;1;0;1;1;1;.053737;NA;.117554;.205219;.280778;.289166;2406;1041
0.02;3;1;0;4;512;74;1;0;5;10000;10000;0;25000;1;0;1;1;1;.050345;NA;.116214;.215900;.290926;.298750;2509;989
0.02;3;1;0;4;512;74;1;0;5;10000;10000;0;25000;1;0;1;1;1;.051478;NA;.113624;.206579;.248055;.259166;2575;1116
0.02;3;1;0;4;512;74;1;0;5;10000;10000;0;25000;1;0;1;2;1;.132955;NA;.106509;.280294;.351361;.410000;2984;671
