comp.time(s),comp.peakRAM(MiB),bin.filesize(MiB),ssl,threads,datatype,function,optshare,packbool,protocol,rxbuffer,txbuffer,bandwidths(Mbs),input_size,preprocess,splitroles,verifybuffer,inittime(s),preproc(s),runtime_clock(s),runtime_getTime(s),runtime_chrono(s),runtime_external(s),peakRAM(MiB),jobCPU(%),runtime_chrono(ms),Configuration,Quantized,Combined Configuration
0.02,3,1,0,4,512,174,1,1,5,10000,10000,100,1,0,1,1,0.012123,,0.207227,15.666188,16.406081,16.41375,3196,31,16406.081000000002,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,1000,1,0,1,1,0.011492,,0.135823,1.401413,1.6572,1.665833,3154,206,1657.2,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,1000,1,0,1,1,0.012294,,0.138563,1.436289,1.656147,1.664583,3126,211,1656.147,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,1000,1,0,1,1,0.012294,,0.13572,1.475225,1.655161,1.6675,3134,207,1655.161,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,10000,1,0,1,1,0.012402,,0.115001,0.182518,0.201417,0.210416,2976,1389,201.417,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,10000,1,0,1,1,0.011836,,0.114603,0.182995,0.200071,0.211666,2954,1383,200.071,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,10000,1,0,1,1,0.012377,,0.113147,0.180079,0.202291,0.213333,2935,1367,202.291,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,25000,1,0,1,1,0.011593,,0.133594,0.120913,0.13412,0.141666,2336,2386,134.11999999999998,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,25000,1,0,1,1,0.007085,,0.131917,0.121449,0.132594,0.14,2267,2377,132.594,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,25000,1,0,1,1,0.011868,,0.132144,0.118957,0.129874,0.137083,2362,2434,129.874,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,100,1,0,1,1,0.007542,,0.223711,16.529769,17.472905,17.48125,3184,31,17472.905000000002,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,100,1,0,1,1,0.010171,,0.222201,16.884666,17.475789,17.485416,3219,31,17475.789,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,100,1,0,1,1,0.012587,,0.227583,16.595578,17.470006,17.47875,3184,32,17470.006,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,1000,1,0,1,1,0.012799,,0.144052,1.507865,1.768201,1.77625,3151,206,1768.201,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,1000,1,0,1,1,0.012333,,0.141589,1.496186,1.761531,1.773333,3155,202,1761.531,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,1000,1,0,1,1,0.012529,,0.140507,1.481193,1.764177,1.775833,3154,202,1764.1770000000001,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,10000,1,0,1,1,0.012104,,0.114314,0.188365,0.215004,41.666666,2726,6,215.004,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
