comp.time(s),comp.peakRAM(MiB),bin.filesize(MiB),ssl,threads,datatype,function,optshare,packbool,protocol,rxbuffer,txbuffer,latencies(ms),bandwidths(Mbs),input_size,preprocess,splitroles,packetdrops(%),verifybuffer,inittime(s),preproc(s),runtime_clock(s),runtime_getTime(s),runtime_chrono(s),runtime_external(s),peakRAM(MiB),jobCPU(%),runtime_chrono(ms),Configuration,Quantized,Combined Configuration
0.02,3,1,0,4,512,71,1,1,5,10000,10000,0,25000,1,0,1,5,1,0.351646,,0.151429,1.770782,2.622554,2.678333,4567,145,2622.554,ResNet50 - Bandwidth Optimized,Quantized,ResNet50 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,0,25000,1,0,1,0,1,0.018537,,0.157053,0.133603,0.136923,0.154583,3281,2597,136.923,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,0,25000,1,0,1,0,1,0.018022,,0.158686,0.135093,0.141197,0.152083,3243,2679,141.197,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,0,25000,1,0,1,0,1,0.017579,,0.15437,0.135203,0.140714,0.151666,3359,2619,140.714,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,0,25000,1,0,1,1,1,0.055751,,0.129816,0.157981,0.191724,0.238333,3823,1423,191.72400000000002,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,0,25000,1,0,1,1,1,0.135915,,0.13308,0.15575,0.175892,0.228333,3858,1513,175.892,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,0,25000,1,0,1,1,1,0.092675,,0.128897,0.150891,0.19392,0.21375,4176,1576,193.92000000000002,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.095992,,0.124711,0.20251,0.280281,0.339166,4104,970,280.281,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.138821,,0.124842,0.209768,0.269948,0.380416,4248,855,269.94800000000004,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.13552,,0.123989,0.222257,0.335369,0.389583,4100,829,335.36899999999997,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,0,25000,1,0,1,5,1,0.139351,,0.145036,1.408004,3.062929,3.116666,4555,121,3062.929,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,0,25000,1,0,1,5,1,0.135961,,0.148682,1.379114,2.202108,2.255416,4633,170,2202.108,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,0,25000,1,0,1,5,1,0.310336,,0.14605,1.409097,2.678401,2.69125,4677,141,2678.401,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,0,25000,1,0,1,0,1,0.017361,,0.159688,0.131645,0.13787,0.148333,3527,2750,137.87,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,0,25000,1,0,1,0,1,0.01664,,0.15663,0.13088,0.138221,0.149166,3599,2704,138.221,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,0,25000,1,0,1,0,1,0.016127,,0.155775,0.131036,0.140286,0.150833,3393,2652,140.286,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,0,25000,1,0,1,1,1,0.056971,,0.120711,0.154726,0.185417,0.23875,3850,1323,185.417,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,0,25000,1,0,1,1,1,0.056849,,0.123243,0.157203,0.217317,0.2325,4059,1389,217.317,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,0,25000,1,0,1,1,1,0.055028,,0.126166,0.158022,0.189535,0.217916,4116,1503,189.535,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,0,25000,1,0,1,2,1,0.052349,,0.123342,0.220371,0.319344,0.371666,3943,863,319.344,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,0,25000,1,0,1,2,1,0.135517,,0.120636,0.219578,0.300068,0.355416,4231,889,300.068,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,0,25000,1,0,1,2,1,0.098673,,0.122801,0.211743,0.278926,0.317083,4325,1012,278.926,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,0,25000,1,0,1,5,1,0.135297,,0.142698,1.318505,1.898723,1.953333,4575,190,1898.723,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,0,25000,1,0,1,5,1,0.055352,,0.146034,1.257698,2.004128,2.057916,4544,183,2004.1280000000002,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.03,3,1,0,4,512,171,1,1,5,10000,10000,0,25000,1,0,1,5,1,0.135994,,0.14206,1.342085,2.060574,2.073333,4634,177,2060.574,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,0,1,0.017803,,0.160588,0.136138,0.141337,0.154166,3416,2661,141.337,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,0,1,0.018283,,0.161896,0.134632,0.142732,0.152916,3458,2703,142.732,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,0,1,0.017775,,0.157426,0.134645,0.143649,0.154166,3460,2612,143.649,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,1,1,0.055022,,0.131218,0.167725,0.251566,0.269166,3698,1263,251.566,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,1,1,0.055681,,0.127198,0.157019,0.194144,0.232083,4118,1418,194.144,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,1,1,0.05887,,0.128611,0.163437,0.206241,0.236666,4053,1406,206.241,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.139343,,0.127677,0.240435,0.306396,0.381666,4245,884,306.396,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.094267,,0.130251,0.228783,0.292928,0.345,4204,978,292.928,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.055541,,0.127295,0.233154,0.321606,0.37875,4264,876,321.606,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,5,1,0.09398,,0.149807,1.408692,2.160624,2.214166,4600,174,2160.624,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,5,1,0.313304,,0.146943,1.460692,1.953272,2.227083,4618,172,1953.272,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,5,1,0.096032,,0.151283,1.422653,1.987237,2.000416,4638,194,1987.2369999999999,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,25000,1,0,1,0,1,0.017998,,0.154593,0.131361,0.137729,0.15125,3402,2623,137.72899999999998,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,25000,1,0,1,0,1,0.017873,,0.15115,0.131269,0.13575,0.149583,3141,2617,135.75,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
