comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;bandwidths(Mbs);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;171;1;1;5;10000;10000;10000;1;0;1;1;.013567;NA;.140303;.253186;.261988;.273750;4129;1331
0.02;3;1;0;4;512;171;1;1;5;10000;10000;25000;1;0;1;1;.016221;NA;.151870;.130405;.137868;.148750;3227;2632
0.02;3;1;0;4;512;171;1;1;5;10000;10000;25000;1;0;1;1;.014451;NA;.147942;.131320;.137751;.149166;3227;2540
0.02;3;1;0;4;512;171;1;1;5;10000;10000;25000;1;0;1;1;.018131;NA;.152291;.130161;.133845;.151666;3466;2585
0.02;3;1;0;4;512;271;1;0;5;10000;10000;100;1;0;1;1;.052765;NA;.278822;24.142563;24.845324;24.859166;4790;28
0.02;3;1;0;4;512;271;1;0;5;10000;10000;100;1;0;1;1;.018196;NA;.270781;24.254994;24.856244;24.866250;4792;27
0.02;3;1;0;4;512;271;1;0;5;10000;10000;100;1;0;1;1;.016278;NA;.283698;24.201435;24.845222;24.858333;4800;28
0.02;3;1;0;4;512;271;1;0;5;10000;10000;1000;1;0;1;1;.014240;NA;.170886;2.174859;2.489177;2.500000;4610;174
0.02;3;1;0;4;512;271;1;0;5;10000;10000;1000;1;0;1;1;.017276;NA;.169567;2.158011;2.488507;2.499583;4610;173
0.02;3;1;0;4;512;271;1;0;5;10000;10000;1000;1;0;1;1;.017553;NA;.173442;2.198567;2.494294;2.505416;4611;177
0.02;3;1;0;4;512;271;1;0;5;10000;10000;10000;1;0;1;1;.016589;NA;.146631;.260685;.271112;.285000;4140;1338
0.02;3;1;0;4;512;271;1;0;5;10000;10000;10000;1;0;1;1;.018553;NA;.144118;.262862;.280376;.290833;4358;1284
0.02;3;1;0;4;512;271;1;0;5;10000;10000;10000;1;0;1;1;.013503;NA;.145536;.261257;.270169;.284166;4254;1316
0.02;3;1;0;4;512;271;1;0;5;10000;10000;25000;1;0;1;1;.014495;NA;.152872;.133319;.140340;.151666;3353;2598
0.02;3;1;0;4;512;271;1;0;5;10000;10000;25000;1;0;1;1;.010133;NA;.152294;.134448;.141372;.152083;3399;2567
0.02;3;1;0;4;512;271;1;0;5;10000;10000;25000;1;0;1;1;.018916;NA;.157385;.134320;.138737;.152916;3530;2661
0.02;3;1;0;4;512;271;1;1;5;10000;10000;100;1;0;1;1;.018142;NA;.270972;23.684624;24.206343;24.219166;4779;28
0.02;3;1;0;4;512;271;1;1;5;10000;10000;100;1;0;1;1;.017744;NA;.273500;23.751813;24.194432;24.213750;4770;28
0.02;3;1;0;4;512;271;1;1;5;10000;10000;100;1;0;1;1;.010349;NA;.270303;23.629076;24.196606;24.207500;4624;27
0.02;3;1;0;4;512;271;1;1;5;10000;10000;1000;1;0;1;1;.010089;NA;.164663;2.105368;2.423936;2.435000;4600;173
0.02;3;1;0;4;512;271;1;1;5;10000;10000;1000;1;0;1;1;.016649;NA;.170644;2.145518;2.423493;2.436666;4612;179
0.02;3;1;0;4;512;271;1;1;5;10000;10000;1000;1;0;1;1;.010198;NA;.171875;2.122040;2.421973;2.435000;4592;180
