comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;171;1;1;5;10000;10000;50;1;0;1;1;.023906;NA;.147550;3.626169;3.657338;3.675000;4596;104
0.02;3;1;0;4;512;171;1;1;5;10000;10000;75;1;0;1;1;.026136;NA;.145836;5.433902;5.468056;5.492083;4608;68
0.02;3;1;0;4;512;171;1;1;5;10000;10000;75;1;0;1;1;.025437;NA;.146465;5.430423;5.474720;5.498333;4612;69
0.02;3;1;0;4;512;171;1;1;5;10000;10000;75;1;0;1;1;.019307;NA;.148708;5.438146;5.459580;5.480833;4613;70
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;1;0;1;1;.016496;NA;.157373;.133272;.141941;.152500;3399;2636
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;1;0;1;1;.016262;NA;.157591;.134407;.141427;.152083;3343;2664
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;1;0;1;1;.017727;NA;.152866;.133848;.142838;.154583;3222;2526
0.02;3;1;0;4;512;271;1;0;5;10000;10000;25;1;0;1;1;.020863;NA;.152634;2.119037;2.131451;2.146666;4539;184
0.02;3;1;0;4;512;271;1;0;5;10000;10000;25;1;0;1;1;.017071;NA;.154719;2.119098;2.130170;2.144166;4543;188
0.02;3;1;0;4;512;271;1;0;5;10000;10000;25;1;0;1;1;.020445;NA;.153982;2.121655;2.131175;2.147500;4538;187
0.02;3;1;0;4;512;271;1;0;5;10000;10000;50;1;0;1;1;.022339;NA;.150844;4.220509;4.241056;4.259166;4604;91
0.02;3;1;0;4;512;271;1;0;5;10000;10000;50;1;0;1;1;.023963;NA;.151985;4.224867;4.247397;4.265000;4599;92
0.02;3;1;0;4;512;271;1;0;5;10000;10000;50;1;0;1;1;.022544;NA;.152502;4.224380;4.243881;4.265416;4603;92
0.02;3;1;0;4;512;271;1;0;5;10000;10000;75;1;0;1;1;.025589;NA;.151898;6.327150;6.355286;6.375416;4661;61
0.02;3;1;0;4;512;271;1;0;5;10000;10000;75;1;0;1;1;.025283;NA;.152203;6.331685;6.368304;6.392500;4629;61
0.02;3;1;0;4;512;271;1;0;5;10000;10000;75;1;0;1;1;.022553;NA;.152435;6.327962;6.362239;6.382083;4626;61
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;1;0;1;1;.012079;NA;.156538;.132354;.137090;.147916;3514;2711
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;1;0;1;1;.009981;NA;.148641;.131164;.137767;.148333;3268;2571
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;1;0;1;1;.018401;NA;.152387;.130274;.136966;.149583;3495;2650
0.02;3;1;0;4;512;271;1;1;5;10000;10000;25;1;0;1;1;.020254;NA;.147597;2.025994;2.038026;2.058750;4515;187
0.02;3;1;0;4;512;271;1;1;5;10000;10000;25;1;0;1;1;.013107;NA;.149534;2.022483;2.033000;2.050000;4519;195
0.02;3;1;0;4;512;271;1;1;5;10000;10000;25;1;0;1;1;.017658;NA;.151349;2.026055;2.035086;2.052083;4523;195
0.02;3;1;0;4;512;271;1;1;5;10000;10000;50;1;0;1;1;.021545;NA;.146981;4.034157;4.063002;4.087500;4579;94
0.02;3;1;0;4;512;271;1;1;5;10000;10000;50;1;0;1;1;.021553;NA;.147878;4.036507;4.084482;4.103333;4583;94
0.03;3;1;0;4;512;271;1;1;5;10000;10000;50;1;0;1;1;.021519;NA;.148058;4.034671;4.064818;4.083333;4615;94
0.02;3;1;0;4;512;271;1;1;5;10000;10000;75;1;0;1;1;.025878;NA;.148455;6.050289;6.114451;6.138750;4602;63
0.02;3;1;0;4;512;271;1;1;5;10000;10000;75;1;0;1;1;.028178;NA;.148206;6.048076;6.091232;6.113333;4605;63
0.02;3;1;0;4;512;271;1;1;5;10000;10000;75;1;0;1;1;.019582;NA;.149515;6.055282;6.095055;6.117083;4607;63
0.02;3;1;0;4;512;74;1;0;5;10000;10000;0;1;0;1;1;.012578;NA;.132358;.162195;.172725;.181250;2270;1845
