comp.time(s),comp.peakRAM(MiB),bin.filesize(MiB),ssl,threads,datatype,function,optshare,packbool,protocol,rxbuffer,txbuffer,latencies(ms),input_size,preprocess,splitroles,verifybuffer,inittime(s),preproc(s),runtime_clock(s),runtime_getTime(s),runtime_chrono(s),runtime_external(s),peakRAM(MiB),jobCPU(%),runtime_chrono(ms),Configuration,Quantized,Combined Configuration
0.02,3,1,0,4,512,174,1,0,5,10000,10000,75,1,0,1,1,0.02254,,0.127699,2.736717,2.775584,2.79875,3254,117,2775.584,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,75,1,0,1,1,0.022723,,0.127831,2.742901,2.774518,2.79375,3239,117,2774.518,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,75,1,0,1,1,0.021667,,0.12925,2.738355,2.781232,2.8025,3236,117,2781.232,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,0,1,0,1,1,0.0123,,0.130044,0.121011,0.132997,0.141666,2279,2353,132.997,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,0,1,0,1,1,0.010575,,0.130053,0.119247,0.126615,0.13625,2351,2412,126.61500000000001,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,0,1,0,1,1,0.011809,,0.132474,0.119822,0.136553,0.14375,2256,2325,136.553,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,25,1,0,1,1,0.01613,,0.121962,0.90033,0.907463,0.920416,3079,343,907.463,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,25,1,0,1,1,0.014591,,0.123334,0.90127,0.907524,0.923333,3084,344,907.524,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,25,1,0,1,1,0.010619,,0.121161,0.900075,0.909774,0.92125,3077,341,909.774,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,50,1,0,1,1,0.016965,,0.124072,1.752502,1.770322,1.785416,3137,177,1770.322,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,50,1,0,1,1,0.012791,,0.126875,1.75109,1.770689,1.784583,3131,181,1770.6889999999999,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,50,1,0,1,1,0.017607,,0.125365,1.749808,1.779667,1.79375,3125,178,1779.6670000000001,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,75,1,0,1,1,0.022547,,0.126171,2.606513,2.652873,2.67125,3160,121,2652.873,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,75,1,0,1,1,0.018929,,0.12431,2.603164,2.628043,2.645416,3145,119,2628.043,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,75,1,0,1,1,0.022593,,0.124927,2.600621,2.65192,2.675416,3156,120,2651.92,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,0,1,0,1,1,0.011891,,0.137902,0.123365,0.136515,0.143333,2182,2420,136.515,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,0,1,0,1,1,0.011537,,0.138097,0.124478,0.133259,0.140833,2272,2462,133.259,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,0,1,0,1,1,0.011801,,0.136847,0.125338,0.141887,0.149166,2336,2310,141.887,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,25,1,0,1,1,0.014563,,0.131087,1.002461,1.009123,1.023333,3102,329,1009.123,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,25,1,0,1,1,0.014101,,0.128114,1.001541,1.011479,1.022083,3092,323,1011.479,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,25,1,0,1,1,0.014472,,0.128974,1.002038,1.006979,1.0225,3088,323,1006.979,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,50,1,0,1,1,0.018778,,0.128429,1.942279,1.965254,1.984583,3142,167,1965.2540000000001,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,50,1,0,1,1,0.017503,,0.130271,1.945197,1.965108,1.979166,3141,168,1965.1080000000002,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,50,1,0,1,1,0.018101,,0.127243,1.947157,1.976314,1.994583,3144,164,1976.3139999999999,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,75,1,0,1,1,0.021172,,0.130582,2.885428,2.926935,2.944166,3164,112,2926.935,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,75,1,0,1,1,0.021117,,0.128507,2.881455,2.919872,2.937916,3178,111,2919.872,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,0,5,10000,10000,75,1,0,1,1,0.022463,,0.128486,2.886985,2.911877,2.935416,3164,111,2911.877,VGG-16 - Latency Optimized,Non-Quantized,VGG-16 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,274,1,1,5,10000,10000,0,1,0,1,1,0.011945,,0.133582,0.117756,0.12716,0.139583,2213,2422,127.16,VGG-16 - Latency Optimized,Quantized,VGG-16 - Latency Optimized - Quantized
0.02,3,1,0,4,512,274,1,1,5,10000,10000,0,1,0,1,1,0.007177,,0.132487,0.120224,0.130765,0.137916,2272,2420,130.765,VGG-16 - Latency Optimized,Quantized,VGG-16 - Latency Optimized - Quantized
0.02,3,1,0,4,512,274,1,1,5,10000,10000,0,1,0,1,1,0.011663,,0.135235,0.11942,0.125849,0.134583,2338,2533,125.84899999999999,VGG-16 - Latency Optimized,Quantized,VGG-16 - Latency Optimized - Quantized
0.02,3,1,0,4,512,274,1,1,5,10000,10000,25,1,0,1,1,0.015418,,0.12617,0.969724,0.980353,0.995833,3069,328,980.3530000000001,VGG-16 - Latency Optimized,Quantized,VGG-16 - Latency Optimized - Quantized
0.02,3,1,0,4,512,274,1,1,5,10000,10000,25,1,0,1,1,0.014205,,0.124866,0.966618,0.972653,0.987083,3077,327,972.653,VGG-16 - Latency Optimized,Quantized,VGG-16 - Latency Optimized - Quantized
0.02,3,1,0,4,512,274,1,1,5,10000,10000,25,1,0,1,1,0.014947,,0.125072,0.966998,0.976005,0.989583,3070,326,976.005,VGG-16 - Latency Optimized,Quantized,VGG-16 - Latency Optimized - Quantized
0.02,3,1,0,4,512,274,1,1,5,10000,10000,50,1,0,1,1,0.018312,,0.127041,1.876744,1.913564,1.92875,3119,168,1913.564,VGG-16 - Latency Optimized,Quantized,VGG-16 - Latency Optimized - Quantized
0.02,3,1,0,4,512,274,1,1,5,10000,10000,50,1,0,1,1,0.019433,,0.126825,1.880025,1.895482,1.917083,3122,170,1895.482,VGG-16 - Latency Optimized,Quantized,VGG-16 - Latency Optimized - Quantized
0.02,3,1,0,4,512,274,1,1,5,10000,10000,50,1,0,1,1,0.01731,,0.126759,1.877602,1.892321,1.9075,3115,171,1892.321,VGG-16 - Latency Optimized,Quantized,VGG-16 - Latency Optimized - Quantized
0.02,3,1,0,4,512,274,1,1,5,10000,10000,75,1,0,1,1,0.020704,,0.125863,2.787595,2.8194,2.837916,3135,112,2819.4,VGG-16 - Latency Optimized,Quantized,VGG-16 - Latency Optimized - Quantized
0.02,3,1,0,4,512,274,1,1,5,10000,10000,75,1,0,1,1,0.022171,,0.126137,2.788411,2.836587,2.859166,3146,113,2836.587,VGG-16 - Latency Optimized,Quantized,VGG-16 - Latency Optimized - Quantized
0.02,3,1,0,4,512,274,1,1,5,10000,10000,75,1,0,1,1,0.020924,,0.125883,2.784117,2.80488,2.822916,3132,113,2804.8799999999997,VGG-16 - Latency Optimized,Quantized,VGG-16 - Latency Optimized - Quantized
