comp.time(s),comp.peakRAM(MiB),bin.filesize(MiB),ssl,threads,datatype,function,optshare,packbool,protocol,rxbuffer,txbuffer,latencies(ms),input_size,preprocess,splitroles,verifybuffer,inittime(s),preproc(s),runtime_clock(s),runtime_getTime(s),runtime_chrono(s),runtime_external(s),peakRAM(MiB),jobCPU(%),runtime_chrono(ms),Configuration,Quantized,Combined Configuration
0.02,3,1,0,4,512,171,1,0,5,10000,10000,0,1,0,1,1,0.016619,,0.155526,0.132649,0.14188,0.1525,3596,2629,141.88,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,0,1,0,1,1,0.018246,,0.148789,0.13277,0.140217,0.152083,3332,2513,140.217,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,0,1,0,1,1,0.018518,,0.154262,0.133306,0.138372,0.1525,3333,2611,138.37199999999999,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,25,1,0,1,1,0.017561,,0.151255,1.809102,1.817745,1.837083,4596,218,1817.745,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,25,1,0,1,1,0.018062,,0.152087,1.811147,1.819919,1.83875,4588,217,1819.919,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,25,1,0,1,1,0.018716,,0.15216,1.809527,1.82236,1.837916,4591,218,1822.36,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,50,1,0,1,1,0.022668,,0.150084,3.610893,3.644843,3.663333,4656,107,3644.843,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,50,1,0,1,1,0.024798,,0.149849,3.609251,3.633123,3.65125,4652,108,3633.123,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,50,1,0,1,1,0.021711,,0.150892,3.606599,3.626909,3.646666,4652,107,3626.909,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,75,1,0,1,1,0.025186,,0.150862,5.411266,5.455878,5.476666,4680,71,5455.878000000001,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,75,1,0,1,1,0.019086,,0.149865,5.405395,5.461727,5.4825,4674,70,5461.727,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,75,1,0,1,1,0.025448,,0.150701,5.401538,5.440193,5.463333,4720,71,5440.193,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,0,1,0,1,1,0.016224,,0.153557,0.131281,0.140411,0.150833,3334,2603,140.411,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,0,1,0,1,1,0.017152,,0.15445,0.128974,0.137703,0.148333,3290,2661,137.703,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,0,1,0,1,1,0.013996,,0.155015,0.130024,0.135465,0.147916,3398,2695,135.465,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,25,1,0,1,1,0.020632,,0.147114,1.819552,1.828737,1.850833,4527,208,1828.737,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,25,1,0,1,1,0.019764,,0.147521,1.819161,1.828188,1.844583,4533,210,1828.1879999999999,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,25,1,0,1,1,0.019583,,0.148905,1.820205,1.831275,1.848333,4531,211,1831.275,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,50,1,0,1,1,0.025379,,0.145608,3.631271,3.666619,3.685,4595,103,3666.6189999999997,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,50,1,0,1,1,0.023953,,0.148057,3.625721,3.651686,3.6775,4591,104,3651.686,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,50,1,0,1,1,0.023906,,0.14755,3.626169,3.657338,3.675,4596,104,3657.338,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,75,1,0,1,1,0.026136,,0.145836,5.433902,5.468056,5.492083,4608,68,5468.056,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,75,1,0,1,1,0.025437,,0.146465,5.430423,5.47472,5.498333,4612,69,5474.719999999999,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,75,1,0,1,1,0.019307,,0.148708,5.438146,5.45958,5.480833,4613,70,5459.58,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,1,0,1,1,0.016496,,0.157373,0.133272,0.141941,0.1525,3399,2636,141.941,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,1,0,1,1,0.016262,,0.157591,0.134407,0.141427,0.152083,3343,2664,141.427,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,1,0,1,1,0.017727,,0.152866,0.133848,0.142838,0.154583,3222,2526,142.838,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,25,1,0,1,1,0.020863,,0.152634,2.119037,2.131451,2.146666,4539,184,2131.451,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,25,1,0,1,1,0.017071,,0.154719,2.119098,2.13017,2.144166,4543,188,2130.17,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,25,1,0,1,1,0.020445,,0.153982,2.121655,2.131175,2.1475,4538,187,2131.1749999999997,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,50,1,0,1,1,0.022339,,0.150844,4.220509,4.241056,4.259166,4604,91,4241.0560000000005,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,50,1,0,1,1,0.023963,,0.151985,4.224867,4.247397,4.265,4599,92,4247.397,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,50,1,0,1,1,0.022544,,0.152502,4.22438,4.243881,4.265416,4603,92,4243.881,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,75,1,0,1,1,0.025589,,0.151898,6.32715,6.355286,6.375416,4661,61,6355.286,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,75,1,0,1,1,0.025283,,0.152203,6.331685,6.368304,6.3925,4629,61,6368.304,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,75,1,0,1,1,0.022553,,0.152435,6.327962,6.362239,6.382083,4626,61,6362.239,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
